probing_dataset,emotion,text_example
custom,happiness,Seeing the kids play so joyfully in the park today really warmed my heart.,None
custom,happiness,"The cake I baked turned out perfectly, and everyone loved it at the party!",None
custom,happiness,Spending the weekend at the beach with friends was just what I needed.,None
custom,happiness,"I finally finished that book I’ve been reading, and the ending was fantastic!",None
custom,happiness,"We had a family reunion last weekend, and it was wonderful to catch up with everyone.",None
custom,happiness,"I managed to hit a personal best on my run this morning, which felt incredible.",None
custom,happiness,"My little niece took her first steps today, and we all cheered her on!",None
custom,happiness,"The weather was perfect for a hike yesterday, and the views were breathtaking.",None
custom,happiness,"My favorite band released a new album, and it’s been on repeat all day.",None
custom,happiness,"We had such a fun game night last night, full of laughter and great memories.",None
custom,happiness,"My best friend and I planned a spontaneous road trip, and it was such an adventure.",None
custom,happiness,"I finally mastered that tricky yoga pose, and it feels so rewarding.",None
custom,happiness,"I attended a workshop on painting, and I created something I’m really proud of.",None
custom,happiness,Seeing the sunrise during my morning walk was a beautiful way to start the day.,None
custom,happiness,The new coffee shop in town has the coziest atmosphere and the best lattes.,None
custom,happiness,"We spent the afternoon flying kites, and it was such a joyous experience.",None
custom,happiness,"My team won our soccer match, and the excitement was contagious.",None
custom,happiness,"I volunteered at the animal shelter, and the puppies were absolutely adorable.",None
custom,happiness,"I reconnected with an old friend, and we talked for hours like no time had passed.",None
custom,happiness,"The local farmer’s market had the freshest produce, and I made a delicious salad.",None
custom,happiness,"I watched a comedy show last night, and I haven’t laughed that hard in ages.",None
custom,happiness,The new mural downtown is stunning and really brightens up the area.,None
custom,happiness,"I planted a tree in the backyard, and it feels great to contribute to the environment.",None
custom,happiness,"We had a picnic by the lake, and it was such a peaceful and happy afternoon.",None
custom,happiness,"I finally organized my closet, and it feels so satisfying to see everything in order.",None
custom,happiness,"My coworker brought homemade cookies to the office, and they were a delightful treat.",None
custom,happiness,I spent the day exploring the city and discovered some charming little shops.,None
custom,happiness,"My partner surprised me with a lovely handwritten note, which made my day.",None
custom,happiness,"The neighborhood kids set up a lemonade stand, and their enthusiasm was contagious.",None
custom,happiness,"I joined a dance class, and it’s been such a joyful way to stay active.",None
custom,happiness,The sunset over the mountains was absolutely breathtaking last evening.,None
custom,happiness,"I got to spend quality time with my grandparents, listening to their fascinating stories.",None
custom,happiness,"We had a BBQ in the backyard, and it turned into an impromptu dance party.",None
custom,happiness,"The community garden is flourishing, and it’s so fulfilling to see everyone’s hard work.",None
custom,happiness,"My dog learned a new trick, and it was so much fun to watch her show it off.",None
