probing_dataset,emotion,text_example
custom,anger,You left the house in such a mess after the party and didn't even bother to clean up!,None
custom,anger,How could they reject my application without even giving me a proper explanation?,None
custom,anger,It's infuriating how our boss always takes credit for our hard work.,None
custom,anger,I can't stand how they always interrupt me when I'm trying to make a point.,None
custom,anger,Why do you always ignore my messages when I need a quick response?,None
custom,anger,It's so annoying that they never follow the agreed-upon schedule.,None
custom,anger,The fact that they completely disregarded my input is beyond frustrating.,None
custom,anger,It's outrageous how they just dismissed my concerns like they didn't matter.,None
custom,anger,Why do you keep borrowing my things without asking and then returning them damaged?,None
custom,anger,It's maddening how they keep changing their minds at the last minute.,None
custom,anger,I can't believe you just left me stranded without any explanation.,None
custom,anger,It's so irritating that they always manage to get away with their bad behavior.,None
custom,anger,Why did you think it was okay to go through my personal stuff without permission?,None
custom,anger,I'm fed up with being treated like my opinions don't matter.,None
custom,anger,It's so disrespectful how they never bother to show up on time.,None
custom,anger,I can't believe you just ignored everything I said during that meeting.,None
custom,anger,It's infuriating how they constantly lie and expect us to believe them.,None
custom,anger,"Why do you always have to make everything about you, even when it's clearly not?",None
custom,anger,Why do you keep making decisions without consulting me first?,None
custom,anger,It's maddening how they refuse to take responsibility for their actions.,None
custom,anger,It's infuriating how they never listen to any feedback.,None
custom,anger,Why did you think it was a good idea to cancel our plans last minute?,None
custom,anger,"It's so annoying that they always take the easy way out, leaving us to pick up the slack.",None
custom,anger,It's outrageous how they just assume I'll be okay with their inconsiderate behavior.,None
custom,anger,Why do you keep bringing up my past mistakes whenever we argue?,None
custom,anger,It's so frustrating that they always undermine my authority in front of others.,None
custom,anger,I can't believe you just let them walk all over you like that.,None
custom,anger,It's maddening how they always play the victim and never admit their faults.,None
custom,anger,Why do you keep making promises you know you can't keep?,None
custom,anger,It's infuriating how they always seem to have an excuse for everything.,None
custom,anger,I can't stand how you always manage to make me feel guilty for things that aren't my fault.,None
custom,anger,It's so annoying that they never seem to take anything seriously.,None
custom,anger,It's maddening how they always find a way to twist my words.,None
custom,anger,I can't believe you just walked away in the middle of our conversation.,None
custom,anger,It's infuriating how they always manage to shift the blame onto someone else.,None
custom,anger,Why do you always make me repeat myself because you weren't listening the first time?,None
custom,anger,It's so frustrating that they never follow through with their commitments.,None
custom,anger,"I can't stand how you always have to be right, no matter the cost.",None
custom,anger,It's outrageous how they completely ignored the guidelines we all agreed upon.,None
custom,anger,Why do you keep bringing new people into the project without consulting the rest of the team?,None
custom,anger,I can't believe you didn't even bother to show up when you knew how important it was to me.,None
custom,anger,It's infuriating how they constantly contradict themselves and expect us to keep up.,None
custom,anger,Why do you always undermine my efforts by making snide comments?,None
custom,anger,I can't believe the landlord raised the rent again without any prior notice!,None
custom,anger,It's ridiculous that our internet service keeps going down during the most important meetings.,None
custom,anger,How could they release such a buggy update and expect us to be okay with it?,None
custom,anger,"It's infuriating that the repair service didn't show up, even though they promised they would.",None
custom,anger,I am so fed up with the constant noise from the construction next door.,None
custom,anger,Why do they keep changing the project requirements without consulting anyone?,None
custom,anger,I can't believe you let them speak to me that way without saying anything!,None
custom,anger,It's maddening how customer service keeps transferring me from one department to another.,None
custom,anger,Why do you never back me up when your friends make those rude comments?,None
custom,anger,It's outrageous that the city still hasn't fixed the potholes on our street.,None
custom,anger,I can't stand how they always take shortcuts and leave the rest of us to clean up the mess.,None
custom,anger,Why did you think it was okay to borrow my car without asking and then return it with an empty tank?,None
custom,anger,It's so annoying that they never give clear instructions and then blame us for not understanding.,None
custom,anger,I can't believe you forgot to pick up the kids from school again!,None
custom,anger,It's maddening that the package I've been waiting for is delayed yet again.,None
custom,anger,Why do you always leave your dirty dishes in the sink for me to clean up?,None
custom,anger,It's frustrating that they keep changing the deadlines and expect us to adjust instantly.,None
custom,anger,I can't stand how you always downplay my achievements in front of others.,None
custom,anger,It's outrageous that the event was canceled at the last minute with no explanation.,None
custom,anger,Why do you keep interrupting me every time I try to explain something?,None
custom,anger,It's infuriating how they disregard safety protocols and put everyone at risk.,None
custom,anger,I can't believe you didn't tell me about the change in plans until the last minute.,None
custom,anger,It's so annoying that the new software update has more bugs than the previous version.,None
custom,anger,Why do you never take my suggestions seriously in team meetings?,None
custom,anger,I can't stand how you always turn every small disagreement into a huge argument.,None
custom,anger,It's frustrating that the store ran out of the item I specifically came for.,None
custom,anger,Why did you think it was acceptable to leave your things all over the living room?,None
custom,anger,It's infuriating that they cut funding for our project without any warning.,None
custom,anger,I can't believe you invited people over without telling me first!,None
custom,anger,It's outrageous that the refund process is taking so long for a mistake they made.,None
custom,anger,Why do you always take your anger out on me when you're upset about something else?,None
custom,anger,It's so annoying that they never give us enough time to complete our tasks properly.,None
custom,anger,I can't stand how you always prioritize your friends over our plans.,None
custom,anger,It's maddening that they lost my application and are making me start the process all over again.,None
custom,anger,Why do you always leave your clothes lying around the house?,None
custom,anger,It's frustrating that the office printer is always out of order when I need it most.,None
custom,anger,I can't believe you didn't stand up for me when I was clearly being mistreated.,None
custom,anger,It's infuriating how they always seem to get away with bending the rules.,None
custom,anger,Why did you think it was a good idea to spend all our savings without consulting me?,None
custom,anger,It's so annoying that the train is always late when I have an important appointment.,None
custom,anger,"I can't stand how you never admit when you're wrong, even when it's obvious.",None
